name,price,description,image_url,category,subcategories,quantity,dimensions
2lb Purple Weights,10,,https://images.squarespace-cdn.com/content/v1/6627204b3836721e77ed20a6/1718165617361-IDM1V7ZO8309GEGRK3FH/2lb-Purple-Weights-47790933_1.jpg,Furniture,Desk,1,23
3 Drawer Dark Wood Side Table,150,,https://images.squarespace-cdn.com/content/v1/6627204b3836721e77ed20a6/1718167620143-1IKKO68MEYJIIIW8MKQ4/3-Drawer-Dark-Wood-Side-Table-63853642_1.jpg,Furniture,desk,1,
3 Drawer White Console/Desk,175,,https://images.squarespace-cdn.com/content/v1/6627204b3836721e77ed20a6/1718167513070-R7SQOHJ2VO6D6DLJUI7S/3-Drawer-White-Lacquered-Console-w_Chrome-Legs-63857059_1.jpg,furniture,Desk,1,
3Pc Round Nesting Coffee Tables,225,,https://images.squarespace-cdn.com/content/v1/6627204b3836721e77ed20a6/1718167471845-2WZ50SQP58YELK1DS815/3Pc-Round-Nesting-Coffee-Tables-41819164_1.jpg,decor,,1,
Acrylic Tray,20,,https://images.squarespace-cdn.com/content/v1/6627204b3836721e77ed20a6/1718166457790-B7REXYFDTD0YJCB78S08/Acrylic-Tray-46801872_1.jpg,decor,,1,
Adjustable Silver Candelabra,25,,https://images.squarespace-cdn.com/content/v1/6627204b3836721e77ed20a6/1718166173538-ESEMU5JZZ9BBAB5CR9BU/Adjustable-Silver-Candelabra-50370294_1.jpg,furniture,,1,
