"TimeUTC","timestampInMs","requestPath","requestMethod","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","lambdaDurationInMs","lambdaRegion","lambdaMaxMemoryUsed","lambdaMemorySize","message","projectId","wafAction"
"2024-11-21 13:26:19",1732195579767,"sisters-df7a.vercel.app/api/categories","GET",504,"iad1::iad1::7nfvm-1732195579748-3f22c93efb90","['Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36']","error","production","main","MISS","lambda","/api/categories","sisters-df7a.vercel.app","sisters-df7a.vercel.app","dpl_7xJFvgo1TuD4eZMNu3dj6B3koxrc",10000,"iad1",111,1024,"","prj_7xx7jyBIx7TVbsecAkjVlMNKhztf","-"
"2024-11-21 13:26:19",1732195579765,"sisters-df7a.vercel.app/api/products","GET",504,"iad1::iad1::b5wkc-1732195579748-ef459a01ac74","['Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36']","error","production","main","MISS","lambda","/api/products","sisters-df7a.vercel.app","sisters-df7a.vercel.app","dpl_7xJFvgo1TuD4eZMNu3dj6B3koxrc",10000,"iad1",111,1024,"","prj_7xx7jyBIx7TVbsecAkjVlMNKhztf","-"
"2024-11-21 13:26:00",1732195560208,"sisters-df7a.vercel.app/api/products","GET",-10,"iad1::iad1::l45qc-1732195548643-4252ca0c4222","['Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36']","error","production","main","MISS","lambda","/api/products","sisters-df7a.vercel.app","sisters-df7a.vercel.app","dpl_7xJFvgo1TuD4eZMNu3dj6B3koxrc",-1,"iad1",-1,-1,"RequestId: 1f240877-b368-42bc-9976-c16672d0e330 Error: Task timed out after 10.00 seconds","prj_7xx7jyBIx7TVbsecAkjVlMNKhztf","-"
"2024-11-21 13:26:00",1732195560170,"sisters-df7a.vercel.app/api/products","GET",-10,"iad1::iad1::l45qc-1732195548643-4252ca0c4222","['Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36']","error","production","main","MISS","lambda","/api/products","sisters-df7a.vercel.app","sisters-df7a.vercel.app","dpl_7xJFvgo1TuD4eZMNu3dj6B3koxrc",-1,"iad1",-1,-1,"Vercel Runtime Timeout Error: Task timed out after 10 seconds","prj_7xx7jyBIx7TVbsecAkjVlMNKhztf","-"
"2024-11-21 13:25:48",1732195548657,"sisters-df7a.vercel.app/api/products","GET",504,"iad1::iad1::l45qc-1732195548643-4252ca0c4222","['Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36']","error","production","main","MISS","lambda","/api/products","sisters-df7a.vercel.app","sisters-df7a.vercel.app","dpl_7xJFvgo1TuD4eZMNu3dj6B3koxrc",10000,"iad1",111,1024,"","prj_7xx7jyBIx7TVbsecAkjVlMNKhztf","-"
"2024-11-21 13:25:48",1732195548647,"sisters-df7a.vercel.app/api/categories","GET",504,"iad1::iad1::z72dd-1732195548643-a3e10edd5777","['Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36']","error","production","main","MISS","lambda","/api/categories","sisters-df7a.vercel.app","sisters-df7a.vercel.app","dpl_7xJFvgo1TuD4eZMNu3dj6B3koxrc",10000,"iad1",110,1024,"","prj_7xx7jyBIx7TVbsecAkjVlMNKhztf","-"
